timestamp,session_id,track,impl,mode,workload,case_id,class,run,ok,expected_ok,passes_oracle,exit_code,duration_ns,cpu_user_ns,cpu_system_ns,max_rss_kb,input_bytes,output_bytes,output_sha256,expected_sha256,stderr_excerpt,error_class,expected_error_class
2026-03-05T06:09:56.071068554Z,6,e2e,json-canon,canonicalize,long-string,WL-canonicalize-long-string,valid,6,true,true,true,0,7014440,1917000,5753000,9240,16403,16403,b327943c16aec03ab62b209ba1cfdad4c4387f88d8a0aefc731db46fb0fe225c,b327943c16aec03ab62b209ba1cfdad4c4387f88d8a0aefc731db46fb0fe225c,,none,
2026-03-05T06:09:56.078083925Z,4,e2e,json-canon,verify,nan-literal,WL-verify-nan-literal,invalid,4,false,false,true,2,6507529,987000,5925000,9240,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 5: invalid number character ""N""\n",invalid_grammar,
2026-03-05T06:09:56.084273098Z,6,e2e,json-canon,verify,small,WL-verify-small,valid,6,true,true,true,0,6157767,1101000,5509000,9240,42,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T06:09:56.090320712Z,1,e2e,json-canon,canonicalize,canonical-minimal,WL-canonicalize-canonical-minimal,valid,1,true,true,true,0,5988233,2153000,4307000,9240,7,7,015abd7f5cc57a2dd94b7590f04ad8084273905ee33ec5cebeae62276a97f862,015abd7f5cc57a2dd94b7590f04ad8084273905ee33ec5cebeae62276a97f862,,none,
2026-03-05T06:09:56.095810092Z,1,e2e,schubfach,verify,rfc-key-sorting,WL-verify-rfc-key-sorting,valid,1,true,true,true,0,5469351,0,5730000,9240,180,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T06:09:56.101994294Z,6,e2e,json-canon,verify,lone-low-surrogate,WL-verify-lone-low-surrogate,invalid,6,false,false,true,2,6120397,1862000,4655000,9240,14,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,error: jcserr: LONE_SURROGATE at byte 6: lone low surrogate U+DC00\n,lone_surrogate,
2026-03-05T06:09:56.109332617Z,5,e2e,schubfach,verify,duplicate-key,WL-verify-duplicate-key,invalid,5,false,false,true,2,7290481,1110000,6662000,9240,13,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: DUPLICATE_KEY at byte 7: duplicate object key ""a"" (first at byte 1)\n",duplicate_key,
2026-03-05T06:09:56.114890776Z,4,e2e,schubfach,canonicalize,nan-literal,WL-canonicalize-nan-literal,invalid,4,false,false,true,2,5527089,2368000,3552000,9240,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 5: invalid number character ""N""\n",invalid_grammar,
2026-03-05T06:09:56.120465587Z,0,e2e,schubfach,canonicalize,lone-high-surrogate,WL-canonicalize-lone-high-surrogate,invalid,0,false,false,true,2,5532596,0,5959000,9240,14,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,error: jcserr: LONE_SURROGATE at byte 6: lone high surrogate U+D800 (no following \u)\n,lone_surrogate,
2026-03-05T06:09:56.155727911Z,0,e2e,json-canon,canonicalize,array-2048,WL-canonicalize-array-2048,valid,0,true,true,true,0,34900030,22262000,20142000,9240,98901,98901,082bc182e046b83a75b215ec8909feb81973a530f133b372bc442e7b021a910f,082bc182e046b83a75b215ec8909feb81973a530f133b372bc442e7b021a910f,,none,
2026-03-05T06:09:56.15963699Z,4,e2e,schubfach,canonicalize,raw-control-char,WL-canonicalize-raw-control-char,invalid,4,false,false,true,2,3856112,0,3977000,9240,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,error: jcserr: INVALID_GRAMMAR at byte 6: unescaped control character 0x01 in string\n,invalid_grammar,
2026-03-05T06:09:56.164713917Z,3,e2e,json-canon,canonicalize,bad-unicode-escape,WL-canonicalize-bad-unicode-escape,invalid,3,false,false,true,2,5046240,928000,4641000,9240,14,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 6: invalid hex in \u escape: ""12G4""\n",invalid_grammar,
2026-03-05T06:09:56.17197285Z,2,e2e,json-canon,canonicalize,bad-unicode-escape,WL-canonicalize-bad-unicode-escape,invalid,2,false,false,true,2,7224984,0,7813000,9240,14,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 6: invalid hex in \u escape: ""12G4""\n",invalid_grammar,
2026-03-05T06:09:56.179273821Z,1,e2e,schubfach,verify,verify-whitespace,WL-verify-verify-whitespace,valid,1,true,true,true,0,7268881,0,7840000,9240,17,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T06:09:56.185660236Z,3,e2e,json-canon,verify,nested-mixed,WL-verify-nested-mixed,valid,3,true,true,true,0,6347564,1318000,5274000,9240,49,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T06:09:56.191857539Z,3,e2e,schubfach,canonicalize,inf-literal,WL-canonicalize-inf-literal,invalid,3,false,false,true,2,6126600,3246000,3246000,9240,14,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 5: invalid number character ""I""\n",invalid_grammar,
2026-03-05T06:09:56.199342792Z,5,e2e,json-canon,canonicalize,trailing-comma,WL-canonicalize-trailing-comma,invalid,5,false,false,true,2,7421302,0,7757000,9240,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 8: expected ""\"""", got ""}""\n",invalid_grammar,
2026-03-05T06:09:56.205123595Z,4,e2e,schubfach,verify,nan-literal,WL-verify-nan-literal,invalid,4,false,false,true,2,5728457,1186000,4747000,9240,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 5: invalid number character ""N""\n",invalid_grammar,
2026-03-05T06:09:56.211834674Z,4,e2e,schubfach,verify,raw-control-char,WL-verify-raw-control-char,invalid,4,false,false,true,2,6664072,1745000,5235000,9240,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,error: jcserr: INVALID_GRAMMAR at byte 6: unescaped control character 0x01 in string\n,invalid_grammar,
2026-03-05T06:09:56.21885772Z,1,e2e,schubfach,verify,negative-zero,WL-verify-negative-zero,invalid,1,false,false,true,2,6966870,0,7269000,9240,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,number_negzero,
2026-03-05T06:09:56.22448315Z,1,e2e,schubfach,verify,small,WL-verify-small,valid,1,true,true,true,0,5592952,1003000,5016000,9240,42,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T06:09:56.229086375Z,2,e2e,json-canon,verify,verify-whitespace,WL-verify-verify-whitespace,valid,2,true,true,true,0,4580191,0,4892000,9240,17,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T06:09:56.23306846Z,5,e2e,schubfach,canonicalize,surrogate-pair,WL-canonicalize-surrogate-pair,valid,5,true,true,true,0,3932519,1068000,3206000,9240,29,21,6d208afaef865872b574468ca33ee4be5f0aaf7201a6aa7d3b40b05f1c7065ed,6d208afaef865872b574468ca33ee4be5f0aaf7201a6aa7d3b40b05f1c7065ed,,none,
2026-03-05T06:09:56.239226101Z,3,e2e,schubfach,canonicalize,unicode,WL-canonicalize-unicode,valid,3,true,true,true,0,6064331,1070000,5352000,9240,98,96,2447c3101ab38afe7705a309df116f7bc8b15b357ed58184586ad307721d9ed6,2447c3101ab38afe7705a309df116f7bc8b15b357ed58184586ad307721d9ed6,,none,
2026-03-05T06:09:56.245582367Z,4,e2e,json-canon,canonicalize,duplicate-decoded-key,WL-canonicalize-duplicate-decoded-key,invalid,4,false,false,true,2,6280118,0,6787000,9240,18,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: DUPLICATE_KEY at byte 7: duplicate object key ""a"" (first at byte 1)\n",duplicate_key,
2026-03-05T06:09:56.252276583Z,4,e2e,schubfach,verify,inf-literal,WL-verify-inf-literal,invalid,4,false,false,true,2,6633799,2309000,4618000,9240,14,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 5: invalid number character ""I""\n",invalid_grammar,
2026-03-05T06:09:56.257886337Z,1,e2e,schubfach,verify,bad-number-leading-zero,WL-verify-bad-number-leading-zero,invalid,1,false,false,true,2,5554907,0,5776000,9240,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,invalid_grammar,
2026-03-05T06:09:56.263288922Z,6,e2e,schubfach,canonicalize,numeric-boundary,WL-canonicalize-numeric-boundary,valid,6,true,true,true,0,5337843,1118000,4472000,9240,98,98,0505e75e5e526a9508decb06d92e1d16aa687e016792670995dd0e4f8d30bf21,0505e75e5e526a9508decb06d92e1d16aa687e016792670995dd0e4f8d30bf21,,none,
2026-03-05T06:09:56.266919899Z,3,e2e,json-canon,canonicalize,lone-high-surrogate,WL-canonicalize-lone-high-surrogate,invalid,3,false,false,true,2,3605301,1862000,1862000,9240,14,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,error: jcserr: LONE_SURROGATE at byte 6: lone high surrogate U+D800 (no following \u)\n,lone_surrogate,
2026-03-05T06:09:56.269520001Z,4,e2e,schubfach,canonicalize,duplicate-decoded-key,WL-canonicalize-duplicate-decoded-key,invalid,4,false,false,true,2,2588664,0,2688000,9240,18,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: DUPLICATE_KEY at byte 7: duplicate object key ""a"" (first at byte 1)\n",duplicate_key,
2026-03-05T06:09:56.271372896Z,2,e2e,schubfach,verify,invalid-escape,WL-verify-invalid-escape,invalid,2,false,false,true,2,1843784,0,1902000,9240,12,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"error: jcserr: INVALID_GRAMMAR at byte 6: invalid escape character ""x""\n",invalid_grammar,
